store,id,brand,title,price_usd,sku,in_stock,image,local_image_path,store_url
Crist Fragrances,cf_10185660432659,Crist Fragances - Wholesale,SHINES OF NEW YORK 85ML,22.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/shines-of-newyork-2048x2048.jpg?v=1762526209,imagenes_perfumes\crist_fragrances\cf_10185660432659_SHINES_OF_NEW_YORK_85ML.jpg,https://wholesale.cristfragances.com/products/shines-of-new-york-85ml
Crist Fragrances,cf_10185670394131,Crist Fragances - Wholesale,COUTURE COLLECTION ALIYAH,11.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/couture-aliyah-2048x2048.jpg?v=1762526497,imagenes_perfumes\crist_fragrances\cf_10185670394131_COUTURE_COLLECTION_ALIYAH.jpg,https://wholesale.cristfragances.com/products/couture-collection-aliyah
Crist Fragrances,cf_10180695884051,Crist Fragances - Wholesale,(TESTER) DOLCE & GABBANA LIGHT BLUE POUR HOMME EAU DE TOILETTE SPRAY 3.3 OZ 100ML,44.99,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/s-l1600-40.jpg?v=1762267292,imagenes_perfumes\crist_fragrances\cf_10180695884051_(TESTER)_DOLCE_&_GABBANA_LIGHT_BLUE_POUR_HOMME_EAU_DE_TOILETTE_SPRAY_3.3_OZ_100M.jpg,https://wholesale.cristfragances.com/products/tester-dolce-gabbana-light-blue-pour-homme-eau-de-toilette-spray-125-ml-4-2-oz
Crist Fragrances,cf_10180680483091,Crist Fragances - Wholesale,Kismet for Women EAU DE PARFUM 100 ML,16.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/6z2i29sauwhmxnku161eisistpom.jpg?v=1762267162,imagenes_perfumes\crist_fragrances\cf_10180680483091_Kismet_for_Women_EAU_DE_PARFUM_100_ML.jpg,https://wholesale.cristfragances.com/products/kismet-for-women-eau-de-parfum-100-ml
Crist Fragrances,cf_10187157078291,Valentino,Valentino Born in Roma Extradose Donna Valentino for women,135.0,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/New-in-Box-Donna-Born-in-Roma-Extradose-Spray-Incense-Burners-E-D-P_64c87d65-f463-4118-a6bf-e4375b258574_91d439fcff010783cfaeff92e7ba0abe_jpeg.webp?v=1762705510,imagenes_perfumes\crist_fragrances\cf_10187157078291_Valentino_Born_in_Roma_Extradose_Donna_Valentino_for_women.webp,https://wholesale.cristfragances.com/products/born-in-roma-extradose-donna-valentino-for-women
Crist Fragrances,cf_10185659973907,Crist Fragances - Wholesale,PASSION OF NEW YORK 85ML,22.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/passion-of-new-york-2048x2048.jpg?v=1762526105,imagenes_perfumes\crist_fragrances\cf_10185659973907_PASSION_OF_NEW_YORK_85ML.jpg,https://wholesale.cristfragances.com/products/passion-of-new-york-85ml
Crist Fragrances,cf_10185649815827,Armani,GIORGIO ARMANI  Ladies Si Intense Refillable EDP Spray 3.4 oz,114.0,3614273734875,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/giorgio-armani-ladies-si-intense-refillable-edp-spray-34-oz-fragrances-3614273734875.jpg?v=1762522489,imagenes_perfumes\crist_fragrances\cf_10185649815827_GIORGIO_ARMANI_Ladies_Si_Intense_Refillable_EDP_Spray_3.4_oz.jpg,https://wholesale.cristfragances.com/products/giorgio-armani-ladies-si-intense-refillable-edp-spray-3-4-oz
Crist Fragrances,cf_10185654665491,Xerjoff,Xerjoff Alexandria II Eau de Parfum EAU DE PARFUM 100 ML,295.0,8033488154967,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/ALEXANDRIA_II_XERJOFF_550x_png.webp?v=1762524288,imagenes_perfumes\crist_fragrances\cf_10185654665491_Xerjoff_Alexandria_II_Eau_de_Parfum_EAU_DE_PARFUM_100_ML.webp,https://wholesale.cristfragances.com/products/xerjoff-alexandria-ii-eau-de-parfum-eau-de-parfum-100-ml
Crist Fragrances,cf_10186582589715,Crist Fragances - Wholesale,CLUB DE NUIT BLING 75 ML,35.75,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/edit-14_PhotoGrid_png.webp?v=1762624544,imagenes_perfumes\crist_fragrances\cf_10186582589715_CLUB_DE_NUIT_BLING_75_ML.webp,https://wholesale.cristfragances.com/products/club-de-nuit-bling
Crist Fragrances,cf_10185659613459,Crist Fragances - Wholesale,VILLAGE OF NEW YORK 85 ML,22.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/village-of-new-york--2048x2048.jpg?v=1762525965,imagenes_perfumes\crist_fragrances\cf_10185659613459_VILLAGE_OF_NEW_YORK_85_ML.jpg,https://wholesale.cristfragances.com/products/village-of-new-york-85-ml
